Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
+2 Mace,W,C,237914,6.84,32583,9.49,39638,35.1%,52.3%,7407,48.8%,11349,49.9%,18756,49.5%,21882,54.4%,-4.9pp
Arborea Pegasus,W,C,203447,5.33,38354,7.02,85217,68.7%,54.2%,18663,53.2%,29828,55.7%,48491,54.7%,42985,53.6%,1.1pp
Blink Dog,W,U,82040,6.17,11094,8.76,13162,31.3%,52.2%,2500,50.4%,3404,52.5%,5904,51.6%,7612,52.5%,-0.9pp
The Book of Exalted Deeds,W,M,5532,2.56,1765,2.59,2764,37.1%,53.3%,403,,852,55.6%,1255,54.2%,1519,52.6%,1.6pp
Celestial Unicorn,W,C,197164,5.43,33499,7.15,63993,62.9%,54.6%,16891,55.5%,26394,55.1%,43285,55.2%,29102,53.6%,1.7pp
Cleric Class,W,U,54259,4.17,12076,4.97,29506,62.6%,55.5%,5772,55.0%,9965,58.3%,15737,57.1%,14798,54.2%,2.9pp
Cloister Gargoyle,W,U,57219,4.14,13612,4.96,31736,67.2%,53.6%,6734,52.7%,11077,57.5%,17811,55.7%,15983,52.1%,3.6pp
Dancing Sword,W,R,8828,1.81,5677,1.77,19749,86.2%,55.4%,3518,56.3%,5264,56.4%,8782,56.4%,11061,54.7%,1.7pp
Dawnbringer Cleric,W,C,212634,5.66,32993,7.8,74970,65.5%,54.1%,16206,53.0%,23739,55.8%,39945,54.7%,39004,53.4%,1.2pp
Delver's Torch,W,C,204263,5.48,30334,7.55,60424,57.5%,52.7%,11709,51.6%,18224,53.4%,29933,52.7%,32137,52.8%,-0.1pp
Devoted Paladin,W,C,232201,6.44,31693,9.01,46624,41.3%,52.9%,8018,52.6%,13773,53.1%,21791,52.9%,26165,52.7%,0.2pp
Divine Smite,W,U,90740,7.1,10164,10.63,2453,6.0%,49.2%,390,,669,48.7%,1059,47.9%,1421,50.0%,-2.1pp
